livejournal,382.132111,391.921478,326.686707,329.298767,406.808441,327.813049,393.617676,366.181824,326.678223,563.988647, ,341.26004,349.788605,347.094574,318.131256,341.435883,335.660522,342.353577,345.341125,286.968323,422.07428, ,290.915619,298.031647,286.171936,278.023987,286.088898,279.581573,280.708923,236.779266,280.230591,262.365631, ,200.282715,254.978043,250.292892,248.555557,243.965881,242.539261,241.016708,193.037766,234.618561,256.388428, 
baidu,188.503326,173.710587,309.049164,191.720993,191.591431,191.003906,188.904831,192.293182,307.618988,191.696487, ,128.599,142.982,147.49,148.356,147.43,148.009,147.744,148.127,148.568,148.413, ,180.077,185.128,168.288,186.059,186.709,186.571,282.95,189.317,186.41,186.884, ,141.401,149.803,143.652,143.791,143.392,144.318,144.118,143.799,143.097,143.768, 
flickr-growth,177.965286,207.017792,202.746246,203.356964,203.167618,203.219589,208.359802,203.650116,204.504959,203.857315, ,144.088,149.962,125.963,153.672,155.539,152.99,125.377,153.351,152.938,155.587, ,185.554,188.021,185.963,185.812,185.217,186.623,191.02,185.454,185.739,186.567, ,127.447,136.611,118.671,136.654,138.167,136.222,136.327,136.287,128.764,136.624, 
zhishi-hudong-relatedpages,8059.187012,8083.796387,8049.833496,8089.757324,8021.358887,8194.600586,8082.819336,8084.070801,8160.015137,8078.245605, ,8202.609,8091.118,8090.702,8118.853,8085.537,8120.056,8096.213,8174.65,8175.424,8119.326, ,932.862,952.784,956.99,951.174,951.431,952.075,955.184,947.805,944.54,972.078, ,961.091,971.688,974.779,976.571,976.055,976.121,975.246,976.832,970.349,974.707, 
pokec,112.265854,132.848389,125.93264,116.563683,138.220413,134.622116,135.897629,136.637756,128.873825,140.080902, ,105.245,106.344,104.952,117.202,114.222,114.07,113.894,117.142,113.102,114.99, ,102.147,134.51,121.078,128.067,124.985,126.23,124.278,123.092,131.525,125.059, ,81.669,105.01,95.237,102.85,102.542,106.051,104.928,102.411,105.566,82.015, 
wikipedia_link_en,3581.938232,3659.019531,3849.445312,3900.529053,4119.032227,4115.681152,4108.874512,4128.714355,3773.29834,4137.494141, ,3278.973,3249.461,3518.197,3744.54,3726.962,3752.826,3962.845,3742.382,3759.551,3763.491, ,3071.016,3138.207,3625.418,3618.601,3600.656,3787.419,3355.441,3679.69,3748.776,3824.648, ,2670.114,2632.191,3225.073,3235.468,3190.584,2714.755,3193.027,3212.031,2720.315,3148.625, 
wikipedia_en,1796.393066,1854.235107,1874.081665,1834.941895,1878.84436,1867.372925,1875.289185,1872.757202,2305.40918,1752.109985, ,1354.459,1386.538,1688.196,1418.607,1420.103,1420.176,1444.697,1441.841,1420.391,1322.485, ,5452.718,5517.891,5484.045,5566.654,5540.238,5568.76,5600.076,5570.532,5518.212,5492.265, ,5077.481,5107.283,5033.93,5306.897,5116.142,5133.044,5094.604,5127.587,5032.226,5094.918, 
dbpedia,1371.046387,1382.820068,1349.155151,1375.15271,1376.329224,1370.434326,1394.817749,1368.858276,1374.655762,1352.495117, ,42170.0,1233.581,1228.695,1228.388,1207.69,1227.615,1227.422,1228.28,1207.039,1219.732, ,2780.684,2847.152,2801.477,2779.625,2787.343,2793.002,2787.821,2785.622,2777.287,2803.626, ,2765.619,2848.026,2792.419,2790.393,2793.931,2794.696,2783.681,2800.321,2785.826,2771.53, 
facebook,2617.896729,2848.618652,3631.207275,3468.006836,3729.669434,2622.3125,3494.469727,3530.717041,3544.85791,2834.88623, ,2566.208,3476.055,3496.277,3556.46,3440.886,3362.74,3461.707,3458.713,3432.309,2428.586, ,2546.877,3607.455,3720.065,3553.422,3605.083,3504.703,3635.592,3590.155,2895.164,2727.754, ,2415.299,3459.057,3436.011,3376.48,3584.59,5103.016,3423.003,3421.526,2563.389,3777.089, 
wiki_communication,154.200409,146.313477,137.430405,143.466248,157.598724,184.662399,140.990524,132.701599,146.869125,73.964,70.133,72.333,63.616,67.934,62.907,69.347,61.591,64.33,147.938,130.887,132.742,137.227,132.195,138.501,149.252,129.182,137.897,68.654,69.27,82.386,72.032,66.768,66.66,64.176,62.097,62.767
random,985.326111,982.211731,984.10083,961.742004,983.290283,983.362366,983.884644,982.659058,981.463257,1021.521362, ,750.97,750.333,750.759,749.653,727.373,750.138,749.687,735.009,687.752,664.763, ,973.855,973.3,972.612,971.689,972.499,971.69,971.919,1676.633,973.67,960.625, ,740.092,740.379,740.801,739.47,689.866,629.823,738.663,739.128,755.256,763.229, 
RMAT,1109.610107,1006.346558,895.186584,1013.791809,1003.803345,1014.901428,1012.689453,1118.167847,997.926147,1102.752563, ,1302.881,647.706,646.469,647.126,621.674,691.376,646.684,645.329,649.753,526.641, ,994.678,996.278,996.12,1001.104,1100.941,995.607,976.235,890.73,1085.244,911.367, ,643.308,686.67,646.928,619.248,642.436,641.469,685.694,688.362,641.63,531.724, 
wiki_talk_en,963.165771,961.238586,955.833008,946.239807,945.757812,945.024414,943.358093,946.084351,942.954163,361.182,352.264,351.374,352.04,348.365,353.187,341.537,341.87,341.848,994.669,4252.233,1010.31,942.527,959.518,953.484,940.726,943.074,942.485,352.422,348.337,348.812,341.093,337.248,4153.456,339.431,339.957,338.75
twitter_mpi
twitter_www
friendster
